"student","class"
"Emma Ortega","accn-10"
"Alex Lopez","accn-10"
"Mawhiba el-Moghaddam","accn-10"
"Tia Shaye Taylor","accn-10"
"Brittany Zimmerman","accn-10"
"Taamira al-Badour","accn-11"
"Jeremy Cepeda","accn-11"
"Zachary Pisarski","accn-11"
"Tyler Keator","accn-11"
"Aurora Martinez","accn-11"
"Nabeela el-Hasen","accn-11"
"Ryan Northup","accn-12"
"Amy Zhou","accn-12"
"Alexa Dang","accn-12"
"Kiara Turner","accn-12"
"Peter Schmitz","accn-12"
"Savoi Wilson","accn-12"
"Monica Kaze","accn-12"
"Samuel Reinhart","accn-12"
"Lauren Moonlight","accn-12"
"Jessica King","accn-12"
"Ashley Oh","accn-12"
"Blake Burbank","accn-12"
"Paul James Bartling","accn-12"
"Troy Bresciani","accn-12"
"Tyler Badsky","accn-12"
"Irianne Moreno","accn-12"
"Aeneva Holloway","accn-12"
"Senait Cooper","accn-12"
"Jake Brave","accn-12"
"Nina Carlton","accn-12"
"Kalani Thapa","accn-12"
"Jenna Ko","bstd-10"
"Safwaan el-Odeh","bstd-10"
"Hypatia Casillas","bstd-10"
"Jordan Bonthron","bstd-10"
"Mahbooba al-Darwish","bstd-10"
"Abdul Lateef el-Radwan","bstd-10"
"Ellijah Gutierrez","bstd-10"
"Radiyya el-Mansour","bstd-10"
"Requal Hyatt","bstd-10"
"Jenna Brown","bstd-10"
"Emma Chargualaf","bstd-10"
"Mawhiba el-Moghaddam","bstd-10"
"Tia Shaye Taylor","bstd-10"
"Percival Vu","bstd-10"
"Stephanie Carver","bstd-10"
"Saleet el-Jabbour","bstd-10"
"Decarlo Blackwater","bstd-10"
"Carlos Romero","bstd-10"
"Janel Salazar","bstd-10"
"Brittany Zimmerman","bstd-10"
"Alex Lopez","bstd-10"
"Naseera el-Majid","bstd-10"
"Tyler Lohrenz","bstd-10"
"Tyler Sarkeiyans","bstd-10"
"Chuong Nguyen","bstd-10"
"Patricia Wonnell","bstd-11"
"Alona Lawson","bstd-11"
"Donato Hicks","bstd-11"
"Taamira al-Badour","bstd-11"
"Sabreen el-Shaikh","bstd-11"
"Jamie Pillar","bstd-11"
"Megan Wilch","bstd-11"
"Nicholas Heap","bstd-11"
"Shelby Thompson","bstd-11"
"Zuhriyaa al-Amini","bstd-11"
"Nathan Narona","bstd-11"
"Calvin Bruner","bstd-11"
"Anthony Whitney","bstd-11"
"Ty Cox","bstd-11"
